gamma_true,gamma_hat
1.0,0.9998718500137329
1.0,0.9994800686836243
1.0,0.9971753358840942
1.0,0.9727450609207153
1.0,0.9548348784446716
1.0,0.9999657869338989
1.0,0.9999810457229614
1.0,0.9999842643737793
1.0,0.999984622001648
1.0,0.9999853372573853
1.0,0.9999850988388062
1.0,0.9999909400939941
1.0,0.9999948740005493
1.0,0.9999972581863403
1.0,0.999996542930603
1.0,0.9999958276748657
1.0,0.9999942779541016
1.0,0.9999909400939941
1.0,0.9999823570251465
1.0,0.9999271631240845
1.0,0.9997125267982483
1.0,0.9986506104469299
1.0,0.9987305998802185
1.0,0.9819003939628601
1.0,0.9999792575836182
1.0,0.9999833106994629
1.0,0.9999836683273315
1.0,0.9999803304672241
1.0,0.9999752044677734
1.0,0.9999784231185913
1.0,0.9999831914901733
1.0,0.999985933303833
1.0,0.9999879598617554
1.0,0.9999926090240479
1.0,0.9999936819076538
1.0,0.9999922513961792
1.0,0.9999886751174927
1.0,0.9999746084213257
1.0,0.9999167919158936
1.0,0.9996961355209351
1.0,0.9981282353401184
1.0,0.9819328188896179
1.0,0.9700868725776672
1.0,0.9999784231185913
1.0,0.9999815225601196
1.0,0.9999819993972778
1.0,0.9999775886535645
1.0,0.9999701976776123
1.0,0.9999755620956421
1.0,0.9999785423278809
1.0,0.9999831914901733
1.0,0.9999847412109375
1.0,0.9999897480010986
1.0,0.9999910593032837
1.0,0.9999896287918091
1.0,0.999985933303833
1.0,0.9999672174453735
1.0,0.9998791217803955
1.0,0.9995183944702148
1.0,0.9971455931663513
