step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,mmae_gamma_hat,mmae_best_gamma,residual_enabled,rl_residual,interlock_tripped
54,0.441667,HYBRID,15097.567533411086,489.74006489372994,0.2295886486019752,1.8692680295498674,9.195559967271159,-0.05129079331804312,-0.014583649801652675,-0.0145912162919607,-0.0145912162919607,0.15,0.11250000000000014,0.9994814352582662,1.0,1.0005188337906445,0.0,0.0,0.0,1.0,1.0,0.9994814352582662,1.0,0,0.0,0
55,0.45,HYBRID,15097.643842305988,489.7772065587654,0.229102373991249,1.8908679317535444,9.113874129823223,-0.03121372896026065,-0.01486043957459242,-0.01486814965348461,-0.01486814965348461,0.15,0.11458333333333348,0.9994814365558673,1.0,1.0005188324916965,0.0,0.0,0.0,1.0,1.0,0.9994814365558673,1.0,0,0.0,0
56,0.458333,HYBRID,15097.71934146434,489.80677058303615,0.22870058067471116,1.9542662303158551,9.09447901331762,-0.011629043224826201,-0.015170214847257927,-0.01517808564762662,-0.01517808564762662,0.15,0.11666666666666682,0.9994814365558726,1.0,1.0005188324916912,0.0,0.0,0.0,1.0,1.0,0.9994814365558726,1.0,0,0.0,0
57,0.466667,HYBRID,15097.795263580978,489.83249848024036,0.22856607126445355,1.9749258227317312,9.107252688074528,0.007566135779513801,-0.014598313210636205,-0.014605887289852421,-0.014605887289852421,0.15,0.11875000000000016,0.9994814365559648,1.0,1.000518832491599,0.0,0.0,0.0,1.0,1.0,0.9994814365559648,1.0,0,0.0,0
58,0.475,HYBRID,15097.871321596205,489.8544641286366,0.2287104499224839,1.9548921616241497,9.15211586170639,0.02281089094327463,-0.014119943179180946,-0.014127269064473744,-0.014127269064473744,0.15,0.1208333333333335,0.9994814365565373,1.0,1.000518832491026,0.0,0.0,0.0,1.0,1.0,0.9994814365565373,1.0,0,0.0,0
59,0.483333,HYBRID,15097.947886902839,489.8840177703252,0.2290592967510791,1.8932678599003256,9.135472989996632,0.03752755687076782,-0.013592593792281662,-0.013599116464550842,-0.013599116464550842,0.15,0.12291666666666684,0.9995203605847349,1.0,1.0004798695796298,0.0,0.0,0.0,1.0,1.0,0.9995203605847349,1.0,0,0.0,0
60,0.491667,HYBRID,15098.023732248694,489.91742411149636,0.2294226059768488,1.8746209276367276,9.087161787616935,0.05005504728885975,-0.013943025996824725,-0.013947844469740397,-0.013947844469740397,0.15,0.12500000000000017,0.9996545363746975,1.0,1.0003455830116625,0.0,0.0,0.0,1.0,1.0,0.9996545363746975,1.0,0,0.0,0
61,0.5,HYBRID,15098.099146667868,489.9546110767677,0.2297780672814246,1.897135919045683,9.007647996475574,0.0647333158873915,-0.014191848420527557,-0.01419446856305295,-0.01419446856305295,0.15,0.1270833333333335,0.999815411016358,1.0,1.0001846230630256,0.0,0.0,0.0,1.0,1.0,0.999815411016358,1.0,0,0.0,0
62,0.508333,HYBRID,15098.17377006635,489.9842306677351,0.23017323806883844,1.96147223470079,8.990469046066693,0.07868287833916214,-0.014476756821444814,-0.014478556110257891,-0.014478556110257891,0.15,0.12916666666666682,0.9998757273308625,1.0,1.0001242881147532,0.0,0.0,0.0,1.0,1.0,0.9998757273308625,1.0,0,0.0,0
63,0.516667,HYBRID,15098.248834822327,490.01002118007733,0.23078914822734037,1.9830232890423363,9.005507266424978,0.09203295833703563,-0.013885194366475836,-0.013886058044594085,-0.013886058044594085,0.15,0.13125000000000014,0.9999378024983422,1.0,1.0000622013704277,0.0,0.0,0.0,1.0,1.0,0.9999378024983422,1.0,0,0.0,0
