step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
47,0.383333,FULL_STACK,15097.138748887926,489.53409634625245,0.39138483098786064,1.8917655261936528,10.128526093354754,-0.070139138416759,-0.0013551092451576485,-0.01492280836460631,-0.01492280836460631,0.15,0.09791666666666676,1.0,1.0,1.0,-0.013567699119448662,0.0,0.0,1.0,1.0,0.0,False
48,0.391667,FULL_STACK,15097.22295305878,489.5679597713887,0.3908517635577688,1.8729194932531066,10.100159486803488,-0.07250606335587687,-0.0018466620228805599,-0.015407657482437139,-0.015407657482437139,0.15,0.1000000000000001,1.0,1.0,1.0,-0.01356099545955658,0.0,0.0,1.0,1.0,0.0,False
49,0.4,FULL_STACK,15097.306890342385,489.60558179403904,0.3901869158913489,1.8951233973930386,10.040059297711597,-0.07143082817947279,-0.00223863121938958,-0.01582442593646302,-0.01582442593646302,0.15,0.10208333333333344,1.0,1.0,1.0,-0.01358579471707344,0.0,0.0,1.0,1.0,0.0,False
50,0.408333,FULL_STACK,15097.390196222812,489.63559849163573,0.38944854378557453,1.959030866317658,10.04188173642271,-0.06967301900846806,-0.0026683574603238785,-0.016309976583842346,-0.016309976583842346,0.15,0.10416666666666678,1.0,1.0,1.0,-0.013641619123518467,0.0,0.0,1.0,1.0,0.0,False
51,0.416667,FULL_STACK,15097.474100500345,489.6617501026017,0.38882917548441526,1.9802714935919616,10.075465028402032,-0.06694346109645527,-0.002219638505003508,-0.015856580526552255,-0.015856580526552255,0.15,0.10625000000000012,1.0,1.0,1.0,-0.013636942021548748,0.0,0.0,1.0,1.0,0.0,False
52,0.425,FULL_STACK,15097.558312240988,489.6841164543964,0.38835199634304784,1.9608987811622045,10.140704277868856,-0.06708241734994291,-0.001866889584492685,-0.01546809117091799,-0.01546809117091799,0.15,0.10833333333333346,1.0,1.0,1.0,-0.013601201586425304,0.0,0.0,1.0,1.0,0.0,False
53,0.433333,FULL_STACK,15097.643199179322,489.7140545076098,0.38795151062889005,1.9000149451930963,10.143868825441924,-0.06674162085113815,-0.0014661785180577703,-0.01500068995756001,-0.01500068995756001,0.15,0.1104166666666668,1.0,1.0,1.0,-0.01353451143950224,0.0,0.0,1.0,1.0,0.0,False
54,0.441667,FULL_STACK,15097.727528389543,489.7478291631381,0.38745065647185695,1.8796089487596894,10.114956428371588,-0.06770390180926072,-0.0019464545727081836,-0.015474922660023743,-0.015474922660023743,0.15,0.11250000000000014,1.0,1.0,1.0,-0.01352846808731556,0.0,0.0,1.0,1.0,0.0,False
55,0.45,FULL_STACK,15097.811587169766,489.7853608535759,0.386829579309859,1.9003458484123479,10.05435269842561,-0.06532203111955633,-0.0023226380967672207,-0.015876434432822023,-0.015876434432822023,0.15,0.11458333333333348,1.0,1.0,1.0,-0.013553796336054802,0.0,0.0,1.0,1.0,0.0,False
56,0.458333,FULL_STACK,15097.895010210574,489.8152942125997,0.38614501243279953,1.9628145494783291,10.055616371731297,-0.062371168035994316,-0.0027400071107967976,-0.01635011493500315,-0.01635011493500315,0.15,0.11666666666666682,1.0,1.0,1.0,-0.013610107824206352,0.0,0.0,1.0,1.0,0.0,False
57,0.466667,FULL_STACK,15097.979026421905,489.841366465474,0.3855894128954327,1.9826179975862068,10.088658457987501,-0.058521313908335267,-0.002280249325874053,-0.01588622207784911,-0.01588622207784911,0.15,0.11875000000000016,1.0,1.0,1.0,-0.01360597275197506,0.0,0.0,1.0,1.0,0.0,False
58,0.475,FULL_STACK,15098.06334591657,489.8636575184553,0.3851847237117402,1.9617865405337676,10.153348341678763,-0.057609729123014576,-0.001915326380636303,-0.015486082100774852,-0.015486082100774852,0.15,0.1208333333333335,1.0,1.0,1.0,-0.01357075572013855,0.0,0.0,1.0,1.0,0.0,False
59,0.483333,FULL_STACK,15098.148335903883,489.8935164924517,0.38486507668633085,1.8994484251970742,10.15611661168219,-0.0563026077580322,-0.001502940765240443,-0.015007538123646033,-0.015007538123646033,0.15,0.12291666666666684,1.0,1.0,1.0,-0.01350459735840559,0.0,0.0,1.0,1.0,0.0,False
60,0.491667,FULL_STACK,15098.23276605457,489.92721069915217,0.38444787692233146,1.8800556705607194,10.126765904389966,-0.05640542548557979,-0.0019698472383048145,-0.01546878401810189,-0.01546878401810189,0.15,0.12500000000000017,1.0,1.0,1.0,-0.013498936779797077,0.0,0.0,1.0,1.0,0.0,False
