step,time_s,case_name,alt_ft,vc_kts,theta_deg,phi_deg,hdot_fps,q_dps,elev_raw,elev_comp,elev_plant,throttle,speedbrake,case_gamma_estimate,physical_gamma,comp_factor,mrac_elev,observer_bias_q,observer_bias_theta,detector_severity,detector_confidence,rl_residual,interlock_tripped
54,0.441667,HYBRID,15097.543357167393,489.7376663551391,0.21917386737842753,1.8799507998669507,9.088610652245135,0.06357783149828573,-0.014740866523105023,-0.014740866523105023,-0.014740866523105023,0.15,0.11250000000000014,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
55,0.45,HYBRID,15097.61877572164,489.7748077533562,0.2196456470090762,1.900874718097037,9.00713332947458,0.08389878329239331,-0.014940366339578424,-0.014940366339578424,-0.014940366339578424,0.15,0.11458333333333348,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
56,0.458333,HYBRID,15097.693386822939,489.80438138828686,0.22020321732022677,1.9636007942434714,8.988099958933574,0.10314390529693966,-0.015178041844867412,-0.015178041844867412,-0.015178041844867412,0.15,0.11666666666666682,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
57,0.466667,HYBRID,15097.76842449233,489.8301283425753,0.2210257039702176,1.9836023837401227,9.001411240130754,0.12145903483265051,-0.014538132460192631,-0.014538132460192631,-0.014538132460192631,0.15,0.11875000000000016,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
58,0.475,HYBRID,15097.843603342772,489.8521220979608,0.2221199710245544,1.9629143107702314,9.046971146866595,0.13531367699064,-0.013994815197280745,-0.013994815197280745,-0.013994815197280745,0.15,0.1208333333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
59,0.483333,HYBRID,15097.919295903295,489.8817126874824,0.22340730586809227,1.9006511154415018,9.031186098680502,0.1481509483668699,-0.013406832368808845,-0.013406832368808845,-0.013406832368808845,0.15,0.12291666666666684,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
60,0.491667,HYBRID,15097.99427632615,489.9151642533367,0.2246928936353493,1.8813816110625778,8.983876501396882,0.1583360125341088,-0.013700775360878032,-0.013700775360878032,-0.013700775360878032,0.15,0.12500000000000017,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
61,0.5,HYBRID,15098.068834703416,489.95240420125623,0.22595050826334598,1.9032822352074505,8.905494336964471,0.17024475871596104,-0.013898024194589315,-0.013898024194589315,-0.013898024194589315,0.15,0.1270833333333335,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
62,0.508333,HYBRID,15098.142611991614,489.9820839165889,0.22722446371607072,1.9670196956826187,8.889571996580937,0.18103605108200374,-0.014135922730018494,-0.014135922730018494,-0.014135922730018494,0.15,0.12916666666666682,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
63,0.516667,HYBRID,15098.216841612011,490.0079413417888,0.2286931337478198,1.987991019778479,8.905992547936096,0.19087075994310532,-0.013501590923327497,-0.013501590923327497,-0.013501590923327497,0.15,0.13125000000000014,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
64,0.525,HYBRID,15098.291238259524,490.0300492639611,0.23036367004171293,1.9682514962221753,8.954669066725842,0.1962576199017847,-0.01296936385988251,-0.01296936385988251,-0.01296936385988251,0.15,0.13333333333333347,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
65,0.533333,HYBRID,15098.366174638271,490.0597488096517,0.2321571376615541,1.9068962357863612,8.942024379018186,0.20069216446686736,-0.012397029976181214,-0.012397029976181214,-0.012397029976181214,0.15,0.1354166666666668,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
66,0.541667,HYBRID,15098.440425224602,490.093306347927,0.23388123002016992,1.8873850481801444,8.89791188303715,0.2025883006223578,-0.012711320754887834,-0.012711320754887834,-0.012711320754887834,0.15,0.13750000000000012,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
67,0.55,HYBRID,15098.514280740172,490.1306483954105,0.23550836112164308,1.9090902585156686,8.822734289513658,0.20634715397267075,-0.012931534056035273,-0.012931534056035273,-0.012931534056035273,0.15,0.13958333333333345,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
68,0.558333,HYBRID,15098.587381742895,490.1604340543374,0.23708349924071212,1.972636893964128,8.809921566111626,0.20914632954219517,-0.01319812193636748,-0.01319812193636748,-0.01319812193636748,0.15,0.14166666666666677,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
69,0.566667,HYBRID,15098.660960234702,490.1863976521795,0.23878697708708146,1.9933993046448717,8.829396218759333,0.21119667902654746,-0.01259746373729586,-0.01259746373729586,-0.01259746373729586,0.15,0.1437500000000001,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
70,0.575,HYBRID,15098.73473110795,490.20861150600297,0.24062753953906169,1.973427633821887,8.88105385496015,0.2090387871152392,-0.012101645619949307,-0.012101645619949307,-0.012101645619949307,0.15,0.14583333333333343,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
71,0.583333,HYBRID,15098.809066191316,490.23840814122724,0.24252822764304094,1.9118259122960228,8.871410987122694,0.20619840239848175,-0.011568997375008307,-0.011568997375008307,-0.011568997375008307,0.15,0.14791666666666675,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
72,0.591667,HYBRID,15098.882740911096,490.2720561713583,0.24429705660693476,1.8928755731449027,8.830223896780005,0.2011060384698998,-0.011924799266709507,-0.011924799266709507,-0.011924799266709507,0.15,0.15000000000000008,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
73,0.6,HYBRID,15098.95604428649,490.30948165843233,0.24591041199135946,1.9151389583474352,8.757917674179183,0.1981926722425832,-0.012190986997723727,-0.012190986997723727,-0.012190986997723727,0.15,0.1520833333333334,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
74,0.608333,HYBRID,15099.028616923839,490.33935128361526,0.24741627848973835,1.9792610279657759,8.747844663788817,0.1946553105130771,-0.01250446233646189,-0.01250446233646189,-0.01250446233646189,0.15,0.15416666666666673,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
75,0.616667,HYBRID,15099.101689070463,490.36539633204876,0.2489980238230694,2.0005641825525107,8.769943822098384,0.19071415643763526,-0.011952846269569193,-0.011952846269569193,-0.011952846269569193,0.15,0.15625000000000006,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,False
